num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  RYR4696;2022-03-07;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;9:05;73H;ESPANIA;ACE
  RYR4696;2022-03-11;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;18:25;73H;ESPANIA;ACE
  TRA5684;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;10:30;73H;HOLANDA;ACE
  TRA5686;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;10:50;73H;HOLANDA;ACE
  TRA5686;2022-03-10;AMSTERDAM/SCHIPHOL;AMS;10:50;73H;HOLANDA;ACE
  TFL686;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;11:05;7M8;HOLANDA;ACE
  VLG8443;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;11:30;320;HOLANDA;ACE
  EJU7270;2022-03-10;AMSTERDAM/SCHIPHOL;AMS;11:45;320;HOLANDA;ACE
  EJU7270;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;12:00;320;HOLANDA;ACE
  EJU7270;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;12:00;320;HOLANDA;ACE
  TFL533;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;16:20;76W;HOLANDA;ACE
  TFL528;2022-03-10;AMSTERDAM/SCHIPHOL;AMS;16:50;76W;HOLANDA;ACE
  TFL524;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;18:15;7M8;HOLANDA;ACE
  VOE3551;2022-03-13;ASTURIAS;OVD;10:20;319;ESPANIA;ACE
  VLG3138;2022-03-13;ASTURIAS;OVD;12:30;320;ESPANIA;ACE
  VLG2473;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;10:15;320;ESPANIA;ACE
  RYR8964;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;12:45;73H;ESPANIA;ACE
  VLG2473;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;13:15;321;ESPANIA;ACE
  VLG2473;2022-03-09;BARCELONA-EL PRAT J.T.;BCN;13:20;320;ESPANIA;ACE
  VLG2473;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;13:25;320;ESPANIA;ACE
  VLG2473;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;17:30;320;ESPANIA;ACE
  VLG2491;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;17:45;320;ESPANIA;ACE
  RYR8964;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;18:40;73H;ESPANIA;ACE
  RYR8964;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;19:55;73H;ESPANIA;ACE
  VLG2477;2022-03-13;BARCELONA-EL PRAT J.T.;BCN;20:20;320;ESPANIA;ACE
  EZS1250;2022-03-09;BASEL/MULHOUSE EUROAIRPORT CH;BSL;17:25;320;SUIZA;ACE
  EZS1250;2022-03-12;BASEL/MULHOUSE EUROAIRPORT CH;BSL;17:25;320;SUIZA;ACE
  EXS310;2022-03-08;BELFAST / INTERNACIONAL;BFS;13:50;73H;REINO-UNIDO;ACE
  EZY6732;2022-03-08;BELFAST / INTERNACIONAL;BFS;18:30;320;REINO-UNIDO;ACE
  EZY6732;2022-03-12;BELFAST / INTERNACIONAL;BFS;20:10;320;REINO-UNIDO;ACE
  EXS310;2022-03-12;BELFAST / INTERNACIONAL;BFS;20:15;73H;REINO-UNIDO;ACE
