num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  NOS1658;2022-03-07;AALBORG;AAL;14:55;7S8;DINAMARCA;FUE
  TRA6508;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;11:20;73H;HOLANDA;FUE
  TFL533;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;14:40;76W;HOLANDA;FUE
  RYR6303;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;10:45;73H;ESPANIA;FUE
  EZS1222;2022-03-08;BASEL/MULHOUSE EUROAIRPORT CH;BSL;13:00;320;SUIZA;FUE
  RYR1102;2022-03-08;BERLIN BRANDENBURG;BER;10:55;73H;ALEMANIA;FUE
  EJU5924;2022-03-08;BERLIN BRANDENBURG;BER;15:40;320;ALEMANIA;FUE
  RYR3742;2022-03-07;BIRMINGHAM / INTERNACIONAL;BHX;18:15;73H;REINO-UNIDO;FUE
  RYR6290;2022-03-08;BOLONIA/ GUGLIELMO MARCONI;BLQ;10:00;7M8;ITALIA;FUE
  ENT7456;2022-03-07;CHOPINA W WARSZAWIE;WAW;13:30;738;POLONIA;FUE
  EWG243;2022-03-07;COLONIA/BONN;CGN;19:50;73H;ALEMANIA;FUE
  RYR7129;2022-03-08;DUBLIN;DUB;19:35;73H;IRLANDA;FUE
  CXI4012;2022-03-07;DUSSELDORF;DUS;12:05;73H;ALEMANIA;FUE
  EWG9553;2022-03-07;DUSSELDORF;DUS;16:30;32A;ALEMANIA;FUE
  CFG1456;2022-03-08;DUSSELDORF;DUS;16:30;32B;ALEMANIA;FUE
  TUI2117;2022-03-07;DUSSELDORF;DUS;17:25;7S8;ALEMANIA;FUE
  RYR3702;2022-03-07;EAST MIDLANDS;EMA;10:55;73H;REINO-UNIDO;FUE
  EXS614;2022-03-08;EAST MIDLANDS;EMA;16:15;73H;REINO-UNIDO;FUE
  RYR8422;2022-03-08;EDIMBURGO/ TURNHOUSE;EDI;18:50;73H;REINO-UNIDO;FUE
  TFL591;2022-03-08;EINDHOVEN;EIN;14:00;73H;HOLANDA;FUE
  CFG1402;2022-03-08;FRANKFURT/INTERNACIONAL;FRA;13:40;32B;ALEMANIA;FUE
  CFG1478;2022-03-07;FRANKFURT/INTERNACIONAL;FRA;14:50;32B;ALEMANIA;FUE
  DLH4377;2022-03-07;FRANKFURT/INTERNACIONAL;FRA;15:05;32A;ALEMANIA;FUE
  EZS1582;2022-03-08;GINEBRA/COINTRIN;GVA;11:40;320;SUIZA;FUE
  IBB203;2022-03-07;GRAN CANARIA;LPA;8:10;AT7;ESPANIA;FUE
  IBB237;2022-03-08;GRAN CANARIA;LPA;9:20;AT7;ESPANIA;FUE
  IBB209;2022-03-07;GRAN CANARIA;LPA;10:25;AT7;ESPANIA;FUE
  IBB209;2022-03-08;GRAN CANARIA;LPA;10:25;AT7;ESPANIA;FUE
  IBB207;2022-03-08;GRAN CANARIA;LPA;12:45;AT7;ESPANIA;FUE
  IBB223;2022-03-07;GRAN CANARIA;LPA;16:10;AT7;ESPANIA;FUE
