num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  IBB5200;2022-03-13;A CORUﾑA;LCG;15:10;295;ESPANIA;LPA
  IBB5200;2022-03-10;A CORUﾑA;LCG;15:20;295;ESPANIA;LPA
  NOS6654;2022-03-12;AALBORG;AAL;11:55;7S8;DINAMARCA;LPA
  IBB5600;2022-03-12;AEROPUERTO INTL. REGIﾓN MURCIA;RMU;8:30;295;ESPANIA;LPA
  IBB5600;2022-03-10;AEROPUERTO INTL. REGIﾓN MURCIA;RMU;8:30;295;ESPANIA;LPA
  IBB5600;2022-03-08;AEROPUERTO INTL. REGIﾓN MURCIA;RMU;15:10;295;ESPANIA;LPA
  IBB6306;2022-03-12;AGADIR/AL MASSIRA;AGA;13:00;AT7;MARRUECOS;LPA
  VLG3201;2022-03-08;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;9:25;320;ESPANIA;LPA
  VLG3201;2022-03-12;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;12:55;320;ESPANIA;LPA
  TRA5664;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;10:30;73H;HOLANDA;LPA
  TRA6456;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;10:30;73H;HOLANDA;LPA
  TRA6456;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;10:30;73H;HOLANDA;LPA
  EJU7962;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;11:40;320;HOLANDA;LPA
  TFL612;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;12:25;7M8;HOLANDA;LPA
  TFL560;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;12:25;7M8;HOLANDA;LPA
  EJU7962;2022-03-07;AMSTERDAM/SCHIPHOL;AMS;12:30;320;HOLANDA;LPA
  EJU7962;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;12:35;320;HOLANDA;LPA
  TFL608;2022-03-07;AMSTERDAM/SCHIPHOL;AMS;13:30;7M8;HOLANDA;LPA
  TFL552;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;14:25;7M8;HOLANDA;LPA
  TFL512;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;14:30;7M8;HOLANDA;LPA
  TFL566;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;15:10;7M8;HOLANDA;LPA
  EJU7962;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;15:50;320;HOLANDA;LPA
  TFL610;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;16:00;7M8;HOLANDA;LPA
  TFL582;2022-03-10;AMSTERDAM/SCHIPHOL;AMS;16:00;7M8;HOLANDA;LPA
  VLG8441;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;16:10;320;HOLANDA;LPA
