num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  VLG3119;2022-03-08;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;7:10;320;ESPANIA;TFN
  RYR3347;2022-03-10;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;11:15;73H;ESPANIA;TFN
  RYR3347;2022-03-13;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;17:35;73H;ESPANIA;TFN
  VLG3119;2022-03-10;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;17:45;320;ESPANIA;TFN
  VLG3119;2022-03-12;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;19:30;320;ESPANIA;TFN
  VLG3202;2022-03-07;ASTURIAS;OVD;7:10;320;ESPANIA;TFN
  VLG3202;2022-03-11;ASTURIAS;OVD;7:50;320;ESPANIA;TFN
  IBB5460;2022-03-08;ASTURIAS;OVD;8:15;295;ESPANIA;TFN
  IBB5460;2022-03-10;ASTURIAS;OVD;8:15;295;ESPANIA;TFN
  VLG3215;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;7:00;320;ESPANIA;TFN
  RYR3064;2022-03-07;BARCELONA-EL PRAT J.T.;BCN;8:50;73H;ESPANIA;TFN
  RYR3064;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;9:30;73H;ESPANIA;TFN
  RYR3064;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;10:50;73H;ESPANIA;TFN
  VLG3217;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  VLG3217;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;15:00;320;ESPANIA;TFN
  RYR2213;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;17:40;73H;ESPANIA;TFN
  RYR2213;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;20:05;73H;ESPANIA;TFN
  RYR2213;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;20:10;73H;ESPANIA;TFN
  VLG3213;2022-03-11;BARCELONA-EL PRAT J.T.;BCN;20:45;320;ESPANIA;TFN
  AEA7007;2022-03-13;BILBAO;BIO;7:10;73H;ESPANIA;TFN
  VLG3261;2022-03-08;BILBAO;BIO;9:55;320;ESPANIA;TFN
  VLG3261;2022-03-11;BILBAO;BIO;9:55;320;ESPANIA;TFN
  VLG3263;2022-03-12;BILBAO;BIO;10:15;320;ESPANIA;TFN
  VLG3261;2022-03-10;BILBAO;BIO;10:20;320;ESPANIA;TFN
  VLG3261;2022-03-13;BILBAO;BIO;15:10;320;ESPANIA;TFN
  IBB659;2022-03-09;EL HIERRO / VALVERDE;VDE;10:00;AT7;ESPANIA;TFN
  IBB422;2022-03-09;FUERTEVENTURA;FUE;10:10;AT7;ESPANIA;TFN
  IBB418;2022-03-11;FUERTEVENTURA;FUE;11:00;AT7;ESPANIA;TFN
  IBB416;2022-03-13;FUERTEVENTURA;FUE;11:40;AT7;ESPANIA;TFN
  IBB416;2022-03-11;FUERTEVENTURA;FUE;11:50;AT7;ESPANIA;TFN
  IBB438;2022-03-13;FUERTEVENTURA;FUE;13:20;AT7;ESPANIA;TFN
  IBB438;2022-03-11;FUERTEVENTURA;FUE;13:30;AT7;ESPANIA;TFN
  IBB426;2022-03-11;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB426;2022-03-13;FUERTEVENTURA;FUE;16:40;AT7;ESPANIA;TFN
  IBB428;2022-03-11;FUERTEVENTURA;FUE;19:20;AT7;ESPANIA;TFN
  IBB424;2022-03-13;FUERTEVENTURA;FUE;20:40;AT7;ESPANIA;TFN
  IBB424;2022-03-11;FUERTEVENTURA;FUE;20:40;AT7;ESPANIA;TFN
  IBB942;2022-03-08;FUNCHAL / MADEIRA;FNC;16:05;AT7;PORTUGAL;TFN
  IBB942;2022-03-12;FUNCHAL / MADEIRA;FNC;16:05;AT7;PORTUGAL;TFN
  IBB106;2022-03-13;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
  IBB106;2022-03-09;GRAN CANARIA;LPA;7:00;295;ESPANIA;TFN
