num_vuelo;dia_sem;destino;codigo;hora_salida;aeronave;pais;origen
  NOS7656;2022-03-13;AALBORG;AAL;15:15;7S8;DINAMARCA;TFS
  TRA6674;2022-03-07;AMSTERDAM/SCHIPHOL;AMS;10:50;73H;HOLANDA;TFS
  EJU7942;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;11:25;320;HOLANDA;TFS
  TRA6674;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;11:30;73H;HOLANDA;TFS
  VLG8445;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;11:40;320;HOLANDA;TFS
  EJU7942;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;11:55;320;HOLANDA;TFS
  TFL584;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;14:30;7M8;HOLANDA;TFS
  TFL664;2022-03-10;AMSTERDAM/SCHIPHOL;AMS;15:30;7M8;HOLANDA;TFS
  TFL567;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;16:20;7M8;HOLANDA;TFS
  TFL562;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;16:30;7M8;HOLANDA;TFS
  EJU7942;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;16:40;320;HOLANDA;TFS
  TFL579;2022-03-09;AMSTERDAM/SCHIPHOL;AMS;16:45;7M8;HOLANDA;TFS
  TFL652;2022-03-08;AMSTERDAM/SCHIPHOL;AMS;16:50;7M8;HOLANDA;TFS
  TFL654;2022-03-07;AMSTERDAM/SCHIPHOL;AMS;17:05;788;HOLANDA;TFS
  TRA6672;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;18:30;73H;HOLANDA;TFS
  TRA6672;2022-03-13;AMSTERDAM/SCHIPHOL;AMS;18:35;73H;HOLANDA;TFS
  TRA6674;2022-03-11;AMSTERDAM/SCHIPHOL;AMS;18:50;73H;HOLANDA;TFS
  TFL670;2022-03-12;AMSTERDAM/SCHIPHOL;AMS;19:10;7M8;HOLANDA;TFS
  VOE3541;2022-03-12;ASTURIAS;OVD;15:15;319;ESPANIA;TFS
  RYR6377;2022-03-08;BARCELONA-EL PRAT J.T.;BCN;18:00;73H;ESPANIA;TFS
  RYR6377;2022-03-10;BARCELONA-EL PRAT J.T.;BCN;18:10;73H;ESPANIA;TFS
  RYR6377;2022-03-12;BARCELONA-EL PRAT J.T.;BCN;19:55;73H;ESPANIA;TFS
  CXI7254;2022-03-11;BASEL/MULHOUSE EUROAIRPORT CH;BSL;11:00;73H;SUIZA;TFS
  CXI7212;2022-03-07;BASEL/MULHOUSE EUROAIRPORT CH;BSL;13:35;73H;SUIZA;TFS
  EZS1226;2022-03-08;BASEL/MULHOUSE EUROAIRPORT CH;BSL;16:40;320;SUIZA;TFS
  EZS1226;2022-03-10;BASEL/MULHOUSE EUROAIRPORT CH;BSL;16:40;320;SUIZA;TFS
  EZS1226;2022-03-12;BASEL/MULHOUSE EUROAIRPORT CH;BSL;17:20;320;SUIZA;TFS
  EXS382;2022-03-12;BELFAST / INTERNACIONAL;BFS;13:55;73H;REINO-UNIDO;TFS
  EZY6764;2022-03-09;BELFAST / INTERNACIONAL;BFS;16:00;320;REINO-UNIDO;TFS
  EZY6764;2022-03-12;BELFAST / INTERNACIONAL;BFS;20:15;320;REINO-UNIDO;TFS
