Num_vuelo;dia_sem_sep;Destino;Codigo;Hora_Salida;Aeronave;Pais;Origen
  VLG3138;2018-11-03;ASTURIAS;OVD;17:30;320;ASTURIAS;ACE
  EZS1250;2018-11-07;BASEL/MULHOUSE EUROAIRPORT CH;BSL;17:25;320;SUIZA;ACE
  EZS1250;2018-11-03;BASEL/MULHOUSE EUROAIRPORT CH;BSL;17:25;320;SUIZA;ACE
  TCX1783;2018-11-01;BELFAST / INTERNACIONAL;BFS;13:45;32B;REINO-UNIDO;ACE
  EZY6732;2018-11-06;BELFAST / INTERNACIONAL;BFS;20:10;320;REINO-UNIDO;ACE
  EZY6732;2018-11-03;BELFAST / INTERNACIONAL;BFS;20:10;320;REINO-UNIDO;ACE
  EZY4512;2018-11-04;BERLIN /SCHOENEFELD;SXF;16:10;320;ALEMANIA;ACE
  EZY4512;2018-11-01;BERLIN /SCHOENEFELD;SXF;16:10;320;ALEMANIA;ACE
  OE2435;2018-11-06;BERLIN /TEGEL;TXL;16:30;73H;ALEMANIA;ACE
  EWG8371;2018-11-04;BERLIN /TEGEL;TXL;15:45;319;ALEMANIA;ACE
  EWG8371;2018-11-06;BERLIN /TEGEL;TXL;15:45;319;ALEMANIA;ACE
  OE2435;2018-11-03;BERLIN /TEGEL;TXL;16:30;73H;ALEMANIA;ACE
  VLG3281;2018-11-06;BILBAO;BIO;9:30;320;BILBAO;ACE
  VLG3281;2018-11-03;BILBAO;BIO;9:30;320;BILBAO;ACE
  VLG3281;2018-11-04;BILBAO;BIO;9:30;320;BILBAO;ACE
  AEA7029;2018-11-07;BILBAO;BIO;15:20;73H;BILBAO;ACE
  AEA7029;2018-11-04;BILBAO;BIO;15:20;73H;BILBAO;ACE
  RYR1449;2018-11-07;BIRMINGHAM / INTERNACIONAL;BHX;13:00;73H;REINO-UNIDO;ACE
  RYR1449;2018-11-04;BIRMINGHAM / INTERNACIONAL;BHX;13:00;73H;REINO-UNIDO;ACE
  RYR1449;2018-11-02;BIRMINGHAM / INTERNACIONAL;BHX;13:00;73H;REINO-UNIDO;ACE
  TCX1703;2018-11-01;BRISTOL;BRS;14:10;32B;REINO-UNIDO;ACE
  BEL3788;2018-11-06;BRUSELAS;BRU;18:00;320;BELGICA;ACE
  BEL3788;2018-11-03;BRUSELAS;BRU;18:00;320;BELGICA;ACE
  BEL3788;2018-11-04;BRUSELAS;BRU;18:00;320;BELGICA;ACE
  RYR8175;2018-11-07;BRUSELAS/CHARLEROI;CRL;17:40;73H;BELGICA;ACE
  RYR8175;2018-11-04;BRUSELAS/CHARLEROI;CRL;17:40;73H;BELGICA;ACE
  EWG261;2018-11-06;COLONIA/BONN;CGN;16:45;319;ALEMANIA;ACE
  EWG261;2018-11-04;COLONIA/BONN;CGN;16:45;319;ALEMANIA;ACE
  RYR7125;2018-11-03;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-06;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-01;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-07;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-05;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-02;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR7125;2018-11-04;DUBLIN;DUB;18:45;73H;IRLANDA;ACE
  RYR5911;2018-11-03;DUBLIN;DUB;18:50;73H;IRLANDA;ACE
  OE2311;2018-11-06;DUSSELDORF;DUS;16:55;73H;ALEMANIA;ACE
  EWG9555;2018-11-07;DUSSELDORF;DUS;16:50;32A;ALEMANIA;ACE
  EWG9555;2018-11-03;DUSSELDORF;DUS;16:50;32A;ALEMANIA;ACE
  EWG9555;2018-11-01;DUSSELDORF;DUS;16:50;32A;ALEMANIA;ACE
  OE2311;2018-11-03;DUSSELDORF;DUS;16:55;73H;ALEMANIA;ACE
  TCX1399;2018-11-01;EAST MIDLANDS;EMA;13:40;32B;REINO-UNIDO;ACE
  TCX1287;2018-11-04;EAST MIDLANDS;EMA;14:50;32B;REINO-UNIDO;ACE
  EXS632;2018-11-04;EAST MIDLANDS;EMA;15:30;73H;REINO-UNIDO;ACE
  RYR6627;2018-11-04;EDIMBURGO/ TURNHOUSE;EDI;12:05;73H;REINO-UNIDO;ACE
  RYR6627;2018-11-01;EDIMBURGO/ TURNHOUSE;EDI;12:05;73H;REINO-UNIDO;ACE
  EXS706;2018-11-03;EDIMBURGO/ TURNHOUSE;EDI;14:45;73H;REINO-UNIDO;ACE
  EXS706;2018-11-04;EDIMBURGO/ TURNHOUSE;EDI;14:45;73H;REINO-UNIDO;ACE
  EXS706;2018-11-01;EDIMBURGO/ TURNHOUSE;EDI;14:45;73H;REINO-UNIDO;ACE
  TRA6358;2018-11-06;EINDHOVEN;EIN;11:00;73H;HOLANDA;ACE
  TRA6358;2018-11-03;EINDHOVEN;EIN;11:00;73H;HOLANDA;ACE
  RYR5503;2018-11-03;FRANKFURT /HAHN;HHN;18:30;73H;ALEMANIA;ACE
  TUI2187;2018-11-04;FRANKFURT/INTERNACIONAL;FRA;9:20;7S8;ALEMANIA;ACE
  EXS168;2018-11-07;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:10;73H;REINO-UNIDO;ACE
  EXS168;2018-11-03;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:10;73H;REINO-UNIDO;ACE
  EXS168;2018-11-04;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:10;73H;REINO-UNIDO;ACE
  TCX1305;2018-11-01;GLASGOW /GLASGOW INTERNACIONAL;GLA;15:50;32B;REINO-UNIDO;ACE
  CNF704;2018-11-05;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-06;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-07;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-01;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-02;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-03;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  CNF704;2018-11-04;GRAN CANARIA;LPA;8:40;AT7;GRAN CANARIA;ACE
  AEA9448;2018-11-07;GRAN CANARIA;LPA;11:40;AT7;GRAN CANARIA;ACE
  AEA9448;2018-11-05;GRAN CANARIA;LPA;11:40;AT7;GRAN CANARIA;ACE
  AEA9448;2018-11-06;GRAN CANARIA;LPA;11:40;AT7;GRAN CANARIA;ACE
  AEA9448;2018-11-04;GRAN CANARIA;LPA;11:40;AT7;GRAN CANARIA;ACE
  AEA9448;2018-11-03;GRAN CANARIA;LPA;11:40;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-05;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-06;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-07;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-01;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-02;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-03;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  CNF730;2018-11-04;GRAN CANARIA;LPA;14:05;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-04;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-07;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-02;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-05;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-06;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  IBB511;2018-11-01;GRAN CANARIA;LPA;14:35;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-05;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-06;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-07;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-01;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-02;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  AEA9450;2018-11-04;GRAN CANARIA;LPA;15:55;AT7;GRAN CANARIA;ACE
  IBB528;2018-11-02;GRAN CANARIA;LPA;19:30;CRK;GRAN CANARIA;ACE
  CNF766;2018-11-05;GRAN CANARIA;LPA;19:50;AT7;GRAN CANARIA;ACE
  CNF766;2018-11-06;GRAN CANARIA;LPA;19:50;AT7;GRAN CANARIA;ACE
  CNF766;2018-11-07;GRAN CANARIA;LPA;19:50;AT7;GRAN CANARIA;ACE
  CNF766;2018-11-04;GRAN CANARIA;LPA;19:50;AT7;GRAN CANARIA;ACE
  CNF766;2018-11-03;GRAN CANARIA;LPA;19:50;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-05;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-06;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-07;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-01;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-02;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-03;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  CNF784;2018-11-04;GRAN CANARIA;LPA;22:10;AT7;GRAN CANARIA;ACE
  IBB549;2018-11-02;GRAN CANARIA;LPA;22:15;AT7;GRAN CANARIA;ACE
  CFG1439;2018-11-06;HAMBURGO/ FUHLSBUETTEL;HAM;16:40;75T;ALEMANIA;ACE
  EWG7089;2018-11-06;HAMBURGO/ FUHLSBUETTEL;HAM;16:30;32A;ALEMANIA;ACE
  CFG1439;2018-11-04;HAMBURGO/ FUHLSBUETTEL;HAM;16:40;75T;ALEMANIA;ACE
  EWG7089;2018-11-04;HAMBURGO/ FUHLSBUETTEL;HAM;16:30;32A;ALEMANIA;ACE
  CFG1439;2018-11-02;HAMBURGO/ FUHLSBUETTEL;HAM;16:40;75T;ALEMANIA;ACE
  CFG1695;2018-11-02;HANNOVER;HAJ;18:10;320;ALEMANIA;ACE
  FIN1700;2018-11-03;HELSINKI / HELSINKI-VANTAA;HEL;13:15;32B;FINLANDIA;ACE
  RYR2359;2018-11-01;KNOCK - IRELAND WEST;NOC;11:00;73H;IRLANDA;ACE
  RYR2047;2018-11-06;LEEDS /LEEDS-BRADFORD;LBA;18:50;73H;REINO-UNIDO;ACE
  RYR2047;2018-11-03;LEEDS /LEEDS-BRADFORD;LBA;18:50;73H;REINO-UNIDO;ACE
  RYR3812;2018-11-05;LIVERPOOL /INTERNACIONAL;LPL;7:10;73H;REINO-UNIDO;ACE
  RYR3812;2018-11-02;LIVERPOOL /INTERNACIONAL;LPL;7:10;73H;REINO-UNIDO;ACE
  BAW2733;2018-11-05;LONDRES/GATWICK;LGW;19:00;320;REINO-UNIDO;ACE
  BAW2733;2018-11-04;LONDRES/GATWICK;LGW;19:00;320;REINO-UNIDO;ACE
  BAW2733;2018-11-03;LONDRES/GATWICK;LGW;19:00;320;REINO-UNIDO;ACE
  RYR2018;2018-11-06;MADRID-BARAJAS ADOLFO SUAREZ;MAD;19:00;73H;MADRID-BARAJAS ADOLFO SUAREZ;ACE
