num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen;num_asientos;ocupacion;total_encuestas;consumo
  VLG3119;2022-03-08 00:00:00;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2022-03-01;2022-03-15;7:10;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR3347;2022-03-10 00:00:00;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2021-11-04;2022-03-24;11:15;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3347;2022-03-13 00:00:00;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2021-10-31;2022-03-20;17:35;73H;ESPANIA;TFN;189;152;92;00:46:00
  VLG3119;2022-03-10 00:00:00;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2022-02-03;2022-03-24;17:45;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3119;2022-03-12 00:00:00;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2022-02-26;2022-03-26;19:30;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3202;2022-03-07 00:00:00;ASTURIAS;OVD;2022-03-07;2022-03-21;7:10;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3202;2022-03-11 00:00:00;ASTURIAS;OVD;2022-03-04;2022-03-25;7:50;320;ESPANIA;TFN;180;144;87;00:43:30
  IBB5460;2022-03-08 00:00:00;ASTURIAS;OVD;2021-11-02;2022-03-22;8:15;295;ESPANIA;TFN;200;160;96;00:48:00
  IBB5460;2022-03-10 00:00:00;ASTURIAS;OVD;2022-01-06;2022-03-24;8:15;295;ESPANIA;TFN;200;160;96;00:48:00
  VLG3215;2022-03-11 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-03-04;2022-03-25;7:00;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR3064;2022-03-07 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-01;2022-03-21;8:50;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3064;2022-03-08 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-01;2022-03-22;9:30;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR3064;2022-03-11 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-05;2022-03-25;10:50;73H;ESPANIA;TFN;189;152;92;00:46:00
  VLG3217;2022-03-08 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-01;2022-03-22;15:00;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3217;2022-03-11 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-25;2022-03-25;15:00;320;ESPANIA;TFN;180;144;87;00:43:30
  RYR2213;2022-03-12 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-05;2022-03-26;17:40;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR2213;2022-03-10 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-03;2022-03-24;20:05;73H;ESPANIA;TFN;189;152;92;00:46:00
  RYR2213;2022-03-08 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-02;2022-03-22;20:10;73H;ESPANIA;TFN;189;152;92;00:46:00
  VLG3213;2022-03-11 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2022-02-18;2022-03-25;20:45;320;ESPANIA;TFN;180;144;87;00:43:30
  AEA7007;2022-03-13 00:00:00;BILBAO;BIO;2022-03-06;2022-03-20;7:10;73H;ESPANIA;TFN;189;152;92;00:46:00
  VLG3261;2022-03-08 00:00:00;BILBAO;BIO;2022-02-01;2022-03-22;9:55;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3261;2022-03-11 00:00:00;BILBAO;BIO;2022-02-18;2022-03-25;9:55;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3263;2022-03-12 00:00:00;BILBAO;BIO;2022-02-19;2022-03-26;10:15;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3261;2022-03-10 00:00:00;BILBAO;BIO;2022-03-03;2022-03-24;10:20;320;ESPANIA;TFN;180;144;87;00:43:30
  VLG3261;2022-03-13 00:00:00;BILBAO;BIO;2022-03-06;2022-03-20;15:10;320;ESPANIA;TFN;180;144;87;00:43:30
  IBB659;2022-03-09 00:00:00;EL HIERRO / VALVERDE;VDE;2022-02-09;2022-03-23;10:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB422;2022-03-09 00:00:00;FUERTEVENTURA;FUE;2022-02-09;2022-03-23;10:10;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB418;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-03-04;2022-03-25;11:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB416;2022-03-13 00:00:00;FUERTEVENTURA;FUE;2022-03-06;2022-03-20;11:40;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB416;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-03-04;2022-03-25;11:50;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB438;2022-03-13 00:00:00;FUERTEVENTURA;FUE;2022-03-06;2022-03-20;13:20;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB438;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-03-04;2022-03-25;13:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB426;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-01-07;2022-03-25;16:40;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB426;2022-03-13 00:00:00;FUERTEVENTURA;FUE;2022-02-27;2022-03-20;16:40;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB428;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-01-14;2022-03-25;19:20;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB424;2022-03-13 00:00:00;FUERTEVENTURA;FUE;2021-10-31;2022-03-20;20:40;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB424;2022-03-11 00:00:00;FUERTEVENTURA;FUE;2022-01-07;2022-03-25;20:40;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB942;2022-03-08 00:00:00;FUNCHAL / MADEIRA;FNC;2021-11-02;2022-03-22;16:05;AT7;PORTUGAL;TFN;72;58;35;00:17:30
  IBB942;2022-03-12 00:00:00;FUNCHAL / MADEIRA;FNC;2022-02-12;2022-03-26;16:05;AT7;PORTUGAL;TFN;72;58;35;00:17:30
  IBB106;2022-03-13 00:00:00;GRAN CANARIA;LPA;2022-01-16;2022-03-20;7:00;295;ESPANIA;TFN;200;160;96;00:48:00
  IBB106;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;7:00;295;ESPANIA;TFN;200;160;96;00:48:00
  IBB100;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;7:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB100;2022-03-07 00:00:00;GRAN CANARIA;LPA;2022-03-07;2022-03-21;7:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB102;2022-03-08 00:00:00;GRAN CANARIA;LPA;2021-11-02;2022-03-22;8:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB102;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-12-13;2022-03-21;8:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB102;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;8:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB104;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;8:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB104;2022-03-07 00:00:00;GRAN CANARIA;LPA;2022-03-07;2022-03-21;8:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB108;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-11-08;2022-03-21;9:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB120;2022-03-08 00:00:00;GRAN CANARIA;LPA;2021-12-14;2022-03-22;10:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB120;2022-03-13 00:00:00;GRAN CANARIA;LPA;2022-03-06;2022-03-20;10:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB134;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;13:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB158;2022-03-11 00:00:00;GRAN CANARIA;LPA;2022-01-14;2022-03-25;14:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB148;2022-03-11 00:00:00;GRAN CANARIA;LPA;2022-03-04;2022-03-25;14:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB160;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;15:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB170;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-12-13;2022-03-21;17:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB178;2022-03-11 00:00:00;GRAN CANARIA;LPA;2021-11-05;2022-03-25;18:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB178;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;18:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB176;2022-03-10 00:00:00;GRAN CANARIA;LPA;2022-03-03;2022-03-24;18:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB186;2022-03-11 00:00:00;GRAN CANARIA;LPA;2022-01-14;2022-03-25;19:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB174;2022-03-10 00:00:00;GRAN CANARIA;LPA;2022-03-03;2022-03-24;19:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB188;2022-03-13 00:00:00;GRAN CANARIA;LPA;2021-12-12;2022-03-20;20:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB192;2022-03-09 00:00:00;GRAN CANARIA;LPA;2022-02-09;2022-03-23;21:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB192;2022-03-07 00:00:00;GRAN CANARIA;LPA;2022-03-07;2022-03-21;21:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB198;2022-03-11 00:00:00;GRAN CANARIA;LPA;2022-01-14;2022-03-25;21:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB198;2022-03-13 00:00:00;GRAN CANARIA;LPA;2022-03-06;2022-03-20;21:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB190;2022-03-11 00:00:00;GRAN CANARIA;LPA;2022-01-07;2022-03-25;22:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB190;2022-03-10 00:00:00;GRAN CANARIA;LPA;2022-01-13;2022-03-24;22:15;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB607;2022-03-09 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-02-09;2022-03-23;8:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB617;2022-03-09 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-02-09;2022-03-23;11:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB617;2022-03-13 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-03-06;2022-03-20;11:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB619;2022-03-11 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-03-04;2022-03-25;13:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB629;2022-03-13 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-03-06;2022-03-20;14:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB631;2022-03-13 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-01-16;2022-03-20;15:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB631;2022-03-09 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-02-09;2022-03-23;15:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB645;2022-03-11 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-01-14;2022-03-25;15:30;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB633;2022-03-12 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2022-01-08;2022-03-26;16:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
  IBB623;2022-03-12 00:00:00;LA PALMA /STA.CRUZ DE LA PALMA;SPC;2021-11-06;2022-03-26;17:00;AT7;ESPANIA;TFN;72;58;35;00:17:30
