Destino;Codigo;Dia_semana;Opera_desde;Opera_hasta;Hora_Salida;Aeronave;Num_vuelo;Pais;Origen
ALICANTE-ELCHE MIGUEL HDEZ.;ALC;L      ;01/11/2021;21/03/2022;9:05;73H;  RYR4696;ESPAÑA;ACE
ALICANTE-ELCHE MIGUEL HDEZ.;ALC;    V  ;31/12/2021;25/03/2022;18:25;73H;  RYR4696;ESPAÑA;ACE
ALICANTE-ELCHE MIGUEL HDEZ.;ALC;     S ;05/03/2022;05/03/2022;19:50;320;  VLG3169;ESPAÑA;ACE
AMSTERDAM/SCHIPHOL;AMS;     S ;08/01/2022;26/03/2022;10:30;73H;  TRA5684;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;02/11/2021;22/03/2022;10:50;73H;  TRA5686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;17/02/2022;24/03/2022;10:50;73H;  TRA5686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;13/03/2022;13/03/2022;11:05;7M8;  TFL686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;    V  ;18/02/2022;25/03/2022;11:30;320;  VLG8443;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;03/03/2022;24/03/2022;11:45;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;     S ;06/11/2021;26/03/2022;12:00;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;08/02/2022;22/03/2022;12:00;320;  EJU7270;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;06/03/2022;06/03/2022;14:00;7M8;  TFL640;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;22/02/2022;01/03/2022;16:05;7M8;  TFL548;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;08/03/2022;08/03/2022;16:20;76W;  TFL533;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS; M     ;15/03/2022;22/03/2022;16:20;7M8;  TFL578;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;   J   ;17/02/2022;10/03/2022;16:50;76W;  TFL528;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;    V  ;18/02/2022;04/03/2022;17:35;73H;  TRA5686;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;06/03/2022;06/03/2022;18:10;788;  TFL524;HOLANDA;ACE
AMSTERDAM/SCHIPHOL;AMS;      D;13/03/2022;13/03/2022;18:15;7M8;  TFL524;HOLANDA;ACE
ASTURIAS;OVD;      D;13/03/2022;20/03/2022;10:20;319;  VOE3551;ESPAÑA;ACE
ASTURIAS;OVD;      D;06/03/2022;20/03/2022;12:30;320;  VLG3138;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;L      ;07/03/2022;21/03/2022;10:15;320;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;  X    ;03/11/2021;23/03/2022;12:45;73H;  RYR8964;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;   J   ;24/02/2022;24/03/2022;13:15;321;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN; M  V  ;01/03/2022;25/03/2022;13:15;321;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;  X    ;02/03/2022;23/03/2022;13:20;320;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;      D;06/03/2022;13/03/2022;13:25;320;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;     S ;05/03/2022;26/03/2022;17:30;320;  VLG2473;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;    V  ;04/03/2022;11/03/2022;17:45;320;  VLG2491;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;    V  ;31/12/2021;25/03/2022;18:40;73H;  RYR8964;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;L      ;06/12/2021;21/03/2022;19:55;73H;  RYR8964;ESPAÑA;ACE
BARCELONA-EL PRAT J.T.;BCN;      D;06/03/2022;20/03/2022;20:20;320;  VLG2477;ESPAÑA;ACE
BASEL/MULHOUSE EUROAIRPORT CH;BSL;  X    ;09/02/2022;23/03/2022;17:25;320;  EZS1250;SUIZA;ACE
BASEL/MULHOUSE EUROAIRPORT CH;BSL;     S ;26/02/2022;26/03/2022;17:25;320;  EZS1250;SUIZA;ACE
BELFAST / INTERNACIONAL;BFS;   J  D;04/11/2021;24/03/2022;13:50;73H;  EXS310;REINO UNIDO;ACE
BELFAST / INTERNACIONAL;BFS; M     ;18/01/2022;22/03/2022;13:50;73H;  EXS310;REINO UNIDO;ACE
BELFAST / INTERNACIONAL;BFS; M     ;02/11/2021;22/03/2022;18:30;320;  EZY6732;REINO UNIDO;ACE
BELFAST / INTERNACIONAL;BFS;     S ;01/01/2022;26/03/2022;20:10;320;  EZY6732;REINO UNIDO;ACE
BELFAST / INTERNACIONAL;BFS;     S ;12/03/2022;19/03/2022;20:15;73H;  EXS310;REINO UNIDO;ACE
BERLIN BRANDENBURG;BER;     S ;01/01/2022;26/03/2022;11:25;73H;  RYR3493;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M    D;06/02/2022;15/03/2022;12:05;320;  EJU5926;ALEMANIA;ACE
BERLIN BRANDENBURG;BER;      D;13/02/2022;20/03/2022;12:10;32A;  EWG8371;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M     ;01/03/2022;22/03/2022;15:45;32A;  EWG8371;ALEMANIA;ACE
BERLIN BRANDENBURG;BER; M     ;02/11/2021;22/03/2022;16:20;73H;  RYR3493;ALEMANIA;ACE
BILBAO;BIO;      D;20/02/2022;20/03/2022;9:45;320;  VLG3281;ESPAÑA;ACE
BILBAO;BIO;L X    ;02/03/2022;23/03/2022;9:45;320;  VLG3281;ESPAÑA;ACE
BILBAO;BIO;    V  ;05/11/2021;25/03/2022;13:20;73H;  AEA7029;ESPAÑA;ACE
BILBAO;BIO;     S ;12/02/2022;26/03/2022;13:20;73H;  AEA7029;ESPAÑA;ACE
BILBAO;BIO;L      ;07/03/2022;21/03/2022;13:20;73H;  AEA7029;ESPAÑA;ACE
BILBAO;BIO;     S ;19/02/2022;26/03/2022;13:50;320;  VLG3281;ESPAÑA;ACE
BIRMINGHAM / INTERNACIONAL;BHX;    V  ;04/02/2022;25/03/2022;10:45;73H;  RYR1449;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;13/02/2022;20/03/2022;11:10;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;      D;31/10/2021;20/03/2022;11:30;73H;  RYR1449;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;L      ;08/11/2021;21/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
BIRMINGHAM / INTERNACIONAL;BHX;   J   ;30/12/2021;24/03/2022;14:20;73H;  EXS1202;REINO UNIDO;ACE
