num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  RYR4696;1;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2021-11-01;2022-03-21;9:05;73H;ESPANIA;ACE
  RYR4696;5;ALICANTE-ELCHE MIGUEL HDEZ.;ALC;2021-12-31;2022-03-25;18:25;73H;ESPANIA;ACE
  TRA5684;6;AMSTERDAM/SCHIPHOL;AMS;2022-01-08;2022-03-26;10:30;73H;HOLANDA;ACE
  TRA5686;2;AMSTERDAM/SCHIPHOL;AMS;2021-11-02;2022-03-22;10:50;73H;HOLANDA;ACE
  TRA5686;4;AMSTERDAM/SCHIPHOL;AMS;2022-02-17;2022-03-24;10:50;73H;HOLANDA;ACE
  TFL686;7;AMSTERDAM/SCHIPHOL;AMS;2022-03-13;2022-03-13;11:05;7M8;HOLANDA;ACE
  VLG8443;5;AMSTERDAM/SCHIPHOL;AMS;2022-02-18;2022-03-25;11:30;320;HOLANDA;ACE
  EJU7270;4;AMSTERDAM/SCHIPHOL;AMS;2022-03-03;2022-03-24;11:45;320;HOLANDA;ACE
  EJU7270;6;AMSTERDAM/SCHIPHOL;AMS;2021-11-06;2022-03-26;12:00;320;HOLANDA;ACE
  EJU7270;2;AMSTERDAM/SCHIPHOL;AMS;2022-02-08;2022-03-22;12:00;320;HOLANDA;ACE
  TFL533;2;AMSTERDAM/SCHIPHOL;AMS;2022-03-08;2022-03-08;16:20;76W;HOLANDA;ACE
  TFL528;4;AMSTERDAM/SCHIPHOL;AMS;2022-02-17;2022-03-10;16:50;76W;HOLANDA;ACE
  TFL524;7;AMSTERDAM/SCHIPHOL;AMS;2022-03-13;2022-03-13;18:15;7M8;HOLANDA;ACE
  VOE3551;7;ASTURIAS;OVD;2022-03-13;2022-03-20;10:20;319;ESPANIA;ACE
  VLG3138;7;ASTURIAS;OVD;2022-03-06;2022-03-20;12:30;320;ESPANIA;ACE
  VLG2473;1;BARCELONA-EL PRAT J.T.;BCN;2022-03-07;2022-03-21;10:15;320;ESPANIA;ACE
  RYR8964;3;BARCELONA-EL PRAT J.T.;BCN;2021-11-03;2022-03-23;12:45;73H;ESPANIA;ACE
  VLG2473;4;BARCELONA-EL PRAT J.T.;BCN;2022-02-24;2022-03-24;13:15;321;ESPANIA;ACE
  VLG2473;3;BARCELONA-EL PRAT J.T.;BCN;2022-03-02;2022-03-23;13:20;320;ESPANIA;ACE
  VLG2473;7;BARCELONA-EL PRAT J.T.;BCN;2022-03-06;2022-03-13;13:25;320;ESPANIA;ACE
  VLG2473;6;BARCELONA-EL PRAT J.T.;BCN;2022-03-05;2022-03-26;17:30;320;ESPANIA;ACE
  VLG2491;5;BARCELONA-EL PRAT J.T.;BCN;2022-03-04;2022-03-11;17:45;320;ESPANIA;ACE
  RYR8964;5;BARCELONA-EL PRAT J.T.;BCN;2021-12-31;2022-03-25;18:40;73H;ESPANIA;ACE
  RYR8964;1;BARCELONA-EL PRAT J.T.;BCN;2021-12-06;2022-03-21;19:55;73H;ESPANIA;ACE
  VLG2477;7;BARCELONA-EL PRAT J.T.;BCN;2022-03-06;2022-03-20;20:20;320;ESPANIA;ACE
