num_vuelo;dia_sem;destino;codigo;opera_desde;opera_hasta;hora_salida;aeronave;pais;origen
  NOS1658;2022-03-07 00:00:00;AALBORG;AAL;2022-02-14;2022-03-21;14:55;7S8;DINAMARCA;FUE
  TRA6508;2022-03-08 00:00:00;AMSTERDAM/SCHIPHOL;AMS;2022-02-22;2022-03-22;11:20;73H;HOLANDA;FUE
  TFL533;2022-03-08 00:00:00;AMSTERDAM/SCHIPHOL;AMS;2022-03-08;2022-03-08;14:40;76W;HOLANDA;FUE
  RYR6303;2022-03-07 00:00:00;BARCELONA-EL PRAT J.T.;BCN;2021-11-01;2022-03-21;10:45;73H;ESPANIA;FUE
  EZS1222;2022-03-08 00:00:00;BASEL/MULHOUSE EUROAIRPORT CH;BSL;2022-02-08;2022-03-22;13:00;320;SUIZA;FUE
  RYR1102;2022-03-08 00:00:00;BERLIN BRANDENBURG;BER;2021-11-02;2022-03-22;10:55;73H;ALEMANIA;FUE
  EJU5924;2022-03-08 00:00:00;BERLIN BRANDENBURG;BER;2022-01-04;2022-03-22;15:40;320;ALEMANIA;FUE
  RYR3742;2022-03-07 00:00:00;BIRMINGHAM / INTERNACIONAL;BHX;2021-12-06;2022-03-21;18:15;73H;REINO-UNIDO;FUE
  RYR6290;2022-03-08 00:00:00;BOLONIA/ GUGLIELMO MARCONI;BLQ;2021-11-02;2022-03-22;10:00;7M8;ITALIA;FUE
  ENT7456;2022-03-07 00:00:00;CHOPINA W WARSZAWIE;WAW;2022-03-07;2022-03-14;13:30;738;POLONIA;FUE
  EWG243;2022-03-07 00:00:00;COLONIA/BONN;CGN;2022-02-28;2022-03-21;19:50;73H;ALEMANIA;FUE
  RYR7129;2022-03-08 00:00:00;DUBLIN;DUB;2021-11-02;2022-03-08;19:35;73H;IRLANDA;FUE
  CXI4012;2022-03-07 00:00:00;DUSSELDORF;DUS;2022-02-21;2022-03-21;12:05;73H;ALEMANIA;FUE
  EWG9553;2022-03-07 00:00:00;DUSSELDORF;DUS;2022-02-07;2022-03-07;16:30;32A;ALEMANIA;FUE
  CFG1456;2022-03-08 00:00:00;DUSSELDORF;DUS;2022-03-01;2022-03-22;16:30;32B;ALEMANIA;FUE
  TUI2117;2022-03-07 00:00:00;DUSSELDORF;DUS;2022-03-07;2022-03-14;17:25;7S8;ALEMANIA;FUE
  RYR3702;2022-03-07 00:00:00;EAST MIDLANDS;EMA;2022-02-07;2022-03-21;10:55;73H;REINO-UNIDO;FUE
  EXS614;2022-03-08 00:00:00;EAST MIDLANDS;EMA;2021-12-28;2022-03-22;16:15;73H;REINO-UNIDO;FUE
  RYR8422;2022-03-08 00:00:00;EDIMBURGO/ TURNHOUSE;EDI;2022-02-01;2022-03-22;18:50;73H;REINO-UNIDO;FUE
  TFL591;2022-03-08 00:00:00;EINDHOVEN;EIN;2021-11-09;2022-03-22;14:00;73H;HOLANDA;FUE
  CFG1402;2022-03-08 00:00:00;FRANKFURT/INTERNACIONAL;FRA;2022-03-01;2022-03-22;13:40;32B;ALEMANIA;FUE
  CFG1478;2022-03-07 00:00:00;FRANKFURT/INTERNACIONAL;FRA;2022-03-07;2022-03-21;14:50;32B;ALEMANIA;FUE
  DLH4377;2022-03-07 00:00:00;FRANKFURT/INTERNACIONAL;FRA;2022-03-07;2022-03-21;15:05;32A;ALEMANIA;FUE
  EZS1582;2022-03-08 00:00:00;GINEBRA/COINTRIN;GVA;2022-02-15;2022-03-22;11:40;320;SUIZA;FUE
  IBB203;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-12-13;2022-03-21;8:10;AT7;ESPANIA;FUE
  IBB237;2022-03-08 00:00:00;GRAN CANARIA;LPA;2021-12-14;2022-03-22;9:20;AT7;ESPANIA;FUE
  IBB209;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-12-13;2022-03-21;10:25;AT7;ESPANIA;FUE
  IBB209;2022-03-08 00:00:00;GRAN CANARIA;LPA;2022-03-08;2022-03-22;10:25;AT7;ESPANIA;FUE
  IBB207;2022-03-08 00:00:00;GRAN CANARIA;LPA;2022-03-08;2022-03-22;12:45;AT7;ESPANIA;FUE
  IBB223;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-12-13;2022-03-21;16:10;AT7;ESPANIA;FUE
  IBB231;2022-03-07 00:00:00;GRAN CANARIA;LPA;2021-11-01;2022-03-21;19:50;AT7;ESPANIA;FUE
  IBB231;2022-03-08 00:00:00;GRAN CANARIA;LPA;2021-12-28;2022-03-22;19:50;AT7;ESPANIA;FUE
  CFG1441;2022-03-08 00:00:00;HAMBURGO/ FUHLSBUETTEL;HAM;2022-03-01;2022-03-15;15:15;320;ALEMANIA;FUE
  CFG1441;2022-03-07 00:00:00;HAMBURGO/ FUHLSBUETTEL;HAM;2022-03-07;2022-03-21;15:25;320;ALEMANIA;FUE
  EWG9557;2022-03-07 00:00:00;HAMBURGO/ FUHLSBUETTEL;HAM;2022-03-07;2022-03-07;16:05;32A;ALEMANIA;FUE
  TUI2149;2022-03-07 00:00:00;HANNOVER;HAJ;2022-02-28;2022-03-14;17:30;7S8;ALEMANIA;FUE
  CXI2228;2022-03-08 00:00:00;HANNOVER;HAJ;2022-02-08;2022-03-22;20:30;73H;ALEMANIA;FUE
  ENT7322;2022-03-07 00:00:00;KATOWICE / PYRZOWICE;KTW;2021-11-01;2022-03-21;15:00;738;POLONIA;FUE
  EXS250;2022-03-08 00:00:00;LEEDS /LEEDS-BRADFORD;LBA;2021-11-02;2022-03-22;14:45;73H;REINO-UNIDO;FUE
  CFG1461;2022-03-08 00:00:00;LEIPZIG;LEJ;2022-03-01;2022-03-22;14:35;32B;ALEMANIA;FUE
  EZY2292;2022-03-08 00:00:00;LONDRES /LUTON APT;LTN;2022-02-15;2022-03-22;12:10;320;REINO-UNIDO;FUE
  EZY8538;2022-03-08 00:00:00;LONDRES/GATWICK;LGW;2022-03-01;2022-03-22;18:50;32Q;REINO-UNIDO;FUE
  RYR5491;2022-03-08 00:00:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2022-02-01;2022-03-22;9:10;73H;ESPANIA;FUE
  RYR5469;2022-03-07 00:00:00;MADRID-BARAJAS ADOLFO SUÁREZ;MAD;2021-11-01;2022-03-21;18:50;73H;ESPANIA;FUE
  RYR3806;2022-03-07 00:00:00;MANCHESTER /INTERNACIONAL;MAN;2022-02-07;2022-03-21;12:15;73H;REINO-UNIDO;FUE
